mode,step,rss_bytes,items_in_table,elapsed_ms,disk_bytes
memory,db_created,5562368,0,0,0
memory,table_created,5869568,0,0,0
memory,loaded_1k,10608640,1000,30,0
memory,loaded_10k,48222208,10000,301,0
memory,after_queries,48222208,10000,311,0
memory,after_scan,48222208,10000,348,0
memory,after_updates,48226304,10000,372,0
memory,after_deletes,48226304,5000,479,0
memory,final,48226304,5000,479,0
file,db_created,48259072,0,43,82216
file,table_created,48259072,0,46,123416
file,loaded_1k,48259072,1000,1288,5324520
file,loaded_10k,48259072,10000,21053,16326376
file,after_queries,48259072,10000,21064,16326376
file,after_scan,48259072,10000,21101,16326376
file,after_updates,48259072,10000,21566,16518888
file,after_deletes,48259072,5000,28770,16522984
file,final,48259072,5000,28770,16522984
docker_idle,dynamodb_local,214748364,0,0,0
docker_idle,localstack,406812535,0,0,0
